Gene Start (bp)	Gene End (bp)	Chromosome Name	Associated Gene Name
102993177	103086624	7	SLC26A5
17579578	17616977	19	SLC27A1
131102925	131123749	9	SLC27A4
43391052	43424530	1	SLC2A1
40148823	40499891	12	SLC2A13
7965108	8043744	12	SLC2A14
8071826	8088871	12	SLC2A3
7184986	7191576	17	SLC2A4
9772777	10056560	4	SLC2A9
68389473	68426896	5	SLC30A5
101361632	101447309	1	SLC30A7
41992489	42092474	4	SLC30A9
115983808	116028674	9	SLC31A1
176806236	176825849	5	SLC34A1
25656923	25680370	4	SLC34A2
88180341	88222054	6	SLC35A1
48760459	48769235	X	SLC35A2
48762581	48771357	HG1436_HG1432_PATCH	SLC35A2
100435345	100492535	1	SLC35A3
139944041	139948688	5	SLC35A4
47778305	47786376	17	SLC35B1
44221833	44225291	6	SLC35B2
45825623	45834566	11	SLC35C1
6019	13945	LRG_107	LRG_107
67465015	67519782	1	SLC35D1
1656277	1677431	1	SLC35E2
1592939	1624167	1	SLC35E2B
69139886	69187508	12	SLC35E3
31031639	31065003	22	SLC35E4
234040679	234460262	1	SLC35F3
136537489	136574734	3	SLC35G2
150816607	150871942	5	SLC36A1
124932963	124959131	11	SLC37A2
118894824	118901616	11	SLC37A4
118894824	118901597	HG299_PATCH	SLC37A4
5001	11555	LRG_187	LRG_187
46751972	46766650	12	SLC38A2
153931575	153940188	1	SLC39A1
196440701	196602426	2	SLC39A10
47428683	47438047	11	SLC39A13
22224762	22291642	8	SLC39A14
2732202	2740150	19	SLC39A3
33688495	33709348	18	SLC39A6
33338586	33342580	HSCHR6_MHC_MCF	SLC39A7
33097048	33101042	HSCHR6_MHC_QBL	SLC39A7
33089852	33093846	HSCHR6_MHC_COX	SLC39A7
33146132	33150126	HSCHR6_MHC_DBB	SLC39A7
33322141	33326135	HSCHR6_MHC_MANN	SLC39A7
33168222	33172216	6	SLC39A7
69864732	69929105	14	SLC39A9
44502599	44548633	2	SLC3A1
205758221	205782876	1	SLC41A1
105196331	105352522	12	SLC41A2
57252007	57283259	11	SLC43A1
57174427	57195053	11	SLC43A3
205626979	205649587	1	SLC45A3
26721661	26734215	17	SLC46A1
26721775	26734216	HG883_PATCH	SLC46A1
5001	16567	LRG_183	LRG_183
27886338	27917840	2	SLC4A1AP
150754297	150773614	7	SLC4A2
74443369	74570541	2	SLC4A5
27414214	27525911	3	SLC4A7
51785101	51902980	12	SLC4A8
145409038	145416175	HG243_PATCH	SLC52A2
145577795	145584932	8	SLC52A2
18853658	18925908	17	SLC5A10
31494323	31502181	16	SLC5A2
35445870	35478559	21	SLC5A3
32888790	32896822	16	SLC6A10P
49792895	49828482	19	SLC6A16
152953554	152962048	X	SLC6A8
152856571	152865065	HG1497_PATCH	SLC6A8
30083547	30169825	13	SLC7A1
21383007	21387129	22	SLC7A4
68318406	68344849	16	SLC7A6OS
27425306	27493472	1	SLC9A1
2075357	2089027	16	SLC9A3R2
103089762	103150431	2	SLC9A4
67271586	67306093	16	SLC9A5
46464753	46618490	X	SLC9A7
46464753	46618490	HG29_PATCH	SLC9A7
48429250	48508779	20	SLC9A8
133651540	133771028	3	SLCO2A1
74811608	74917594	11	SLCO2B1
92396925	92715665	15	SLCO3A1
33738079	33760302	17	SLFN12
33762115	33775856	17	SLFN13
78174414	78227447	14	SLIRP
20254883	20622184	4	SLIT2
168088745	168728133	5	SLIT3
105726959	105788991	10	SLK
57741177	57914895	3	SLMAP
57608200	57617964	20	SLMO2
43880880	43883205	20	SLPI
59171244	59225852	15	SLTM
159828648	159848718	5	SLU7
29465822	29469540	16	SLX1B
10415951	10617477	20	SLX4IP
146402346	146479231	4	SMAD1
45357922	45457515	18	SMAD2
48494410	48611415	18	SMAD4
67174	122003	LRG_318	LRG_318
135468534	135524435	5	SMAD5
66994566	67074338	15	SMAD6
46446223	46477081	18	SMAD7
71377479	71571718	6	SMAP1
2015342	2193624	9	SMARCA2
144434616	144478639	4	SMARCA5
24129150	24176703	22	SMARCB1
5001	52556	LRG_520	LRG_520
47626762	47823596	3	SMARCC1
56556767	56583351	12	SMARCC2
50478755	50494495	12	SMARCD1
61909444	61920425	17	SMARCD2
38781214	38804760	17	SMARCE1
53401070	53449677	X	SMC1A
53117149	53165728	HG1433_PATCH	SMC1A
112327449	112364394	10	SMC3
72873937	72969804	9	SMC5
2655737	2805015	18	SMCHD1
93211638	93276674	11	SMCO4
18218624	18226517	17	SMCR8
91923955	91976898	14	SMEK1
55774428	55846015	2	SMEK2
1963133	2207065	17	SMG6
57286761	57292608	17	SMG8
44235301	44259142	19	SMG9
39547950	39640710	4	SMIM14
60453536	60458301	5	SMIM15
42396298	42409603	8	SMIM19
150157508	150176296	5	SMIM3
70220768	70249769	5	SMN1
69345350	69374349	5	SMN2
68969494	68998376	HSCHR5_1_CTG1	SMN2
112050488	112064709	10	SMNDC1
109761966	109765122	6	SMPD2
130908981	130940323	2	SMPD4
28261504	28285668	1	SMPDL3B
21958691	22025798	X	SMS
33041762	33076665	9	SMU1
98625061	98741723	7	SMURF1
62538413	62658186	17	SMURF2
62619655	62739428	HG183_PATCH	SMURF2
1682779	1733928	17	SMYD4
73441350	73454365	2	SMYD5
48599536	48605423	20	SNAI1
49830249	49834299	8	SNAI2
21213271	21245506	22	SNAP29
227916240	227968927	1	SNAP47
15422702	15465951	9	SNAPC3
139270029	139293249	9	SNAPC4
66782473	66790151	15	SNAPC5
153631130	153634306	1	SNAPIN
88718375	88723017	10	SNCG
47006678	47022479	17	SNF8
37075221	37079564	20	SNHG11
119199864	119200978	4	SNHG8
11762270	11773015	16	SNN
93463679	93463812	11	SNORA25
93465527	93465665	11	SNORA8
43328004	43466256	3	SNRK
103010	107669	16	SNRNP25
123942188	123957701	12	SNRNP35
31732417	31769662	1	SNRNP40
7590432	7612200	6	SNRNP48
49588676	49611862	19	SNRNP70
41256542	41271294	19	SNRPA
2442280	2451499	20	SNRPB
16710606	16722421	20	SNRPB2
34725183	34741571	6	SNRPC
19192228	19210417	18	SNRPD1
46190712	46195827	19	SNRPD2
24951471	25005947	22	SNRPD3
96252706	96297606	12	SNRPF
25068794	25223870	15	SNRPN
121547985	121825513	8	SNTB1
75890424	75918810	15	SNUPN
25200181	25245423	15	SNURF
78183942	78227550	14	SNW1
46180719	46200436	17	SNX11
70279094	70288273	X	SNX12
17830385	17980124	7	SNX13
86215214	86303874	6	SNX14
64794880	64808044	11	SNX15
130745331	130786404	11	SNX19
44462449	44471914	20	SNX21
64443914	64449680	15	SNX22
108532426	108582464	6	SNX3
115513118	115643951	9	SNX30
75940247	75954642	15	SNX33
125165495	125239041	3	SNX4
17922241	17949623	20	SNX5
35030300	35099389	14	SNX6
2291405	2393953	7	SNX8
107811162	107981357	6	SOBP
93963590	93977263	12	SOCS2
76352864	76356158	17	SOCS3
55493948	55516206	14	SOCS4
67956137	67997436	18	SOCS6
36508111	36556019	17	SOCS7
36508111	36556020	HG745_PATCH	SOCS7
33031935	33041244	21	SOD1
35405845	35492089	20	SOGA1
36742345	36871979	13	SOHLH2
34914924	34949812	21	SON
97071528	97321171	10	SORBS1
186506598	186877806	4	SORBS2
22402499	22433301	8	SORBS3
39208537	39351486	2	SOS1
50583847	50698276	14	SOS2
132149033	132152488	5	SOWAHA
110371911	110376563	2	SOWAHC
306207	310865	20	SOX12
55370495	55373448	8	SOX17
62679076	62680994	20	SOX18
10581278	10697357	8	SOX7
53773960	53810230	12	SP1
231280657	231408805	2	SP100
231032009	231090444	2	SP110
5001	56194	LRG_109	LRG_109
45973516	46006323	17	SP2
21467652	21554440	7	SP4
171571861	171574588	2	SP5
45922279	45933240	17	SP6
49110000	49110970	19	SPACA4
101170134	101271506	8	SPAG1
34203814	34208971	20	SPAG4
26904588	26926297	17	SPAG5
4862521	4871167	17	SPAG7
49039535	49198226	17	SPAG9
32288680	32382706	2	SPAST
24553944	24881212	13	SPATA13
48519928	48532080	20	SPATA2
16713612	16763919	1	SPATA21
138732252	138739777	5	SPATA24
89762751	89768113	16	SPATA2L
123844229	124240605	4	SPATA5
45694529	45713617	15	SPATA5L1
94987885	95034415	5	SPATA9
52738971	52742182	3	SPCS1
74660292	74690076	11	SPCS2
177241115	177253396	4	SPCS3
34505579	34524110	6	SPDEF
29005383	29073477	2	SPDYA
44040488	44049721	7	SPDYE1
102191679	102202755	7	SPDYE2
101986192	101996889	7	SPDYE6
101991668	101998241	HG115_PATCH	SPDYE6
72333321	72341076	7	SPDYE7P
72327714	72335467	HG1257_PATCH	SPDYE7P
24666786	24813708	22	SPECC1L
16174359	16266955	1	SPEN
69110560	69239150	15	SPESP1
44854894	44955876	15	SPG11
65255362	65282648	15	SPG21
89557325	89624176	16	SPG7
229440129	229441248	1	SPHAR
49122548	49133974	19	SPHK2
47376411	47400127	11	SPI1
48173167	48648868	8	SPIDR
48173167	48648898	HG1699_PATCH	SPIDR
91003334	91093609	9	SPIN1
57160963	57164058	X	SPIN2A
57144984	57147980	X	SPIN2B
57002803	57021970	X	SPIN3
62567107	62571223	X	SPIN4
62566698	62570814	HG1437_PATCH	SPIN4
41136216	41150405	15	SPINT1
12446511	12658133	18	SPIRE1
28985542	28995869	16	SPNS1
1160720	1202750	4	SPON2
47676246	47755596	17	SPOP
139259371	139331117	2	SPOPL
2328614	2355099	19	SPPL2B
121200313	121342174	12	SPPL3
73114489	73119287	2	SPR
135234170	135382916	10	SPRN
231472850	231490769	1	SPRTN
53458388	53473204	12	SPRYD3
50486842	50510626	13	SPRYD7
9352939	9429591	1	SPSB1
1826713	1843701	16	SPSB3
65213002	65346601	14	SPTB
66452719	66496697	11	SPTBN2
94794281	94877666	9	SPTLC1
5001	89264	LRG_272	LRG_272
12989627	13147411	20	SPTLC3
34901995	34931562	14	SPTSSA
18627948	18656338	11	SPTY2D1
179233388	179265078	5	SQSTM1
30709530	30755602	16	SRCAP
43139037	43149243	6	SRF
121297656	121411265	5	SRFBP1
11114641	11120081	1	SRM
40327940	40331389	15	SRP14
112196919	112205485	5	SRP19
35451163	35498773	14	SRP54
74035184	74068734	17	SRP68
57333081	57369839	4	SRP72
35800743	35889119	6	SRPK1
104751151	105039755	7	SRPK2
126132814	126139039	11	SRPR
99899215	99926296	X	SRPX2
2206677	2228554	17	SRR
26879843	26890624	22	SRRD
24958207	24999758	1	SRRM1
44100769	44118649	19	SRRM5
100472733	100486285	7	SRRT
36562145	36573377	6	SRSF3
29474255	29508499	1	SRSF4
70193617	70238722	14	SRSF5
42086568	42092245	20	SRSF6
38970741	38978636	2	SRSF7
94800056	94804388	11	SRSF8
120899471	120907596	12	SRSF9
627259	634014	20	SRXN1
23596578	23671181	18	SS18
60718822	60757540	20	SS18L1
42623332	42636606	3	SS18L2
170648443	170668574	2	SSB
141438121	141487722	7	SSBP1
141444129	141493730	HSCHR7_1_CTG6	SSBP1
18529674	18545372	19	SSBP4
55999771	56030465	19	SSC5D
182756560	182795465	2	SSFA2
67070919	67080078	11	SSH3
140083099	140084822	9	SSNA1
26274924	26452223	12	SSPN
78346	117787	LRG_209	LRG_209
7268539	7347679	6	SSR1
155978839	155990750	1	SSR2
57093459	57103351	11	SSRP1
65337901	65341413	11	SSSCA1
1114093	1128707	16	SSTR5-AS1
1477053	1510249	1	SSU72
85109390	85156486	1	SSX2IP
130029457	130080271	11	ST14
134467091	134584183	8	ST3GAL1
126225535	126310239	11	ST3GAL4
86066267	86116137	2	ST3GAL5
98451080	98540045	3	ST3GAL6
8714898	8932498	11	ST5
74620843	74639920	17	ST6GALNAC1
76540404	77100286	1	ST6GALNAC3
77333126	77531396	1	ST6GALNAC5
100142639	100238970	5	ST8SIA4
52529354	52558511	3	STAB1
103981051	104160505	12	STAB2
37366789	37382125	17	STAC2
123094062	123556514	X	STAG2
17686124	17757913	HG544_PATCH	STAM
17686124	17757913	10	STAM
152973315	153032506	2	STAM2
72465774	72504726	11	STARD10
37793318	37819737	17	STARD3
38217824	38270272	7	STARD3NL
110831731	110848288	5	STARD4
96850597	96874563	2	STARD7
67867508	67945684	X	STARD8
56735381	56753939	12	STAT2
191894302	192016322	2	STAT4
40439565	40463961	17	STAT5A
40351186	40428725	17	STAT5B
5001	82230	LRG_192	LRG_192
47729878	47804904	20	STAU1
74332604	74659943	8	STAU2
89783689	89794143	7	STEAP1
22459063	22672544	7	STEAP1B
89796904	89867451	7	STEAP2
87905744	87936206	7	STEAP4
47715811	47779819	1	STIL
63952744	63972015	11	STIP1
171469077	171615390	5	STK10
1189406	1228428	19	STK11
21393	44029	LRG_319	LRG_319
220110177	220115059	2	STK16
43622357	43666385	7	STK17A
196998290	197041227	2	STK17B
31929344	31939616	HSCHR6_MHC_QBL	STK19
31930804	31941075	HSCHR6_MHC_SSTO	STK19
31926504	31936775	HSCHR6_MHC_COX	STK19
31938868	31950598	6	STK19
31921138	31932782	HSCHR6_MHC_DBB	STK19
32015399	32025671	HSCHR6_MHC_MCF	STK19
99102455	99230194	13	STK24
242432089	242449145	2	STK25
2082257	2157684	20	STK35
219536749	219567439	2	STK36
27396901	27478892	12	STK38L
168810530	169104651	2	STK39
43595115	43708600	20	STK4
5001	118475	LRG_535	LRG_535
35099888	35103154	9	STOML2
48756522	48826025	2	STON1
48757064	49003654	2	STON1-GTF2A1L
184774584	184944679	4	STOX2
79976578	79981983	17	STRA13
61780192	61819330	17	STRADA
202252581	202345569	2	STRADB
16035325	16056412	12	STRAP
110574199	110617263	1	STRIP1
31363005	31495607	14	STRN3
47222764	47250251	19	STRN4
7137497	7272851	X	STS
125461607	125495110	11	STT3A
730224	732870	16	STUB1
13254872	13261197	19	STX10
144471663	144509507	6	STX11
5001	46423	LRG_113	LRG_113
57226328	57254582	20	STX16
102668915	102732618	9	STX17
4417469	4544073	4	STX18
31044210	31054296	16	STX4
62574369	62599560	11	STX5
7701767	7712759	19	STXBP2
5001	15769	LRG_165	LRG_165
109289296	109352148	1	STXBP3
53046088	53241646	17	STXBP4
53196898	53241716	14	STYX
32531739	32604185	5	SUB1
48510622	48612125	13	SUCLA2
84650647	84687169	2	SUCLG1
118814185	118855840	12	SUDS3
104263744	104393292	10	SUFU
5001	134496	LRG_521	LRG_521
40174575	40900362	7	SUGCT
19386827	19431653	19	SUGP1
19101697	19144832	19	SUGP2
70378859	70573150	8	SULF1
46285092	46415360	20	SULF2
30205754	30215631	16	SULT1A3
203070903	203103331	2	SUMO1
73163408	73179078	17	SUMO2
46225532	46238694	21	SUMO3
855528	936072	7	SUN1
39130730	39190148	22	SUN2
56390964	56400425	12	SUOX
21819631	21852425	14	SUPT16H
37583449	37633850	13	SUPT20H
56422539	56430454	17	SUPT4H1
39926796	39967310	19	SUPT5H
26989109	27029697	17	SUPT6H
27873679	27886676	2	SUPT7L
70939988	70968855	10	SUPV3L1
136232087	136236704	HG79_PATCH	SURF2
136223428	136228045	9	SURF2
136206251	136211933	HG79_PATCH	SURF6
136197552	136203235	9	SURF6
95820989	95847420	9	SUSD3
48553945	48567403	X	SUV39H1
48554953	48568411	HG1436_HG1432_PATCH	SUV39H1
14920819	14946314	10	SUV39H2
67922330	67981295	11	SUV420H1
55851221	55859488	19	SUV420H2
30264037	30328064	17	SUZ12
113127531	113342160	9	SVEP1
22835345	22851845	11	SVIP
185126212	185260897	1	SWT1
16737755	16783459	X	SYAP1
110586207	110704020	8	SYBU
77233294	77247112	16	SYCE1L
25549170	25558993	1	SYF2
93564069	93660831	9	SYK
12045876	12232900	3	SYN2
33145507	33169197	1	SYNC
86318053	86353510	6	SYNCRIP
152442819	152958936	6	SYNE1
34001069	34100359	21	SYNJ1
70838148	70883778	14	SYNJ2BP
149980642	150038782	5	SYNPO
35874900	35969544	17	SYNRG
105730949	105753022	7	SYPL1
19179293	19279652	16	SYT17
61282785	61348620	11	SYT7
1848709	1858751	11	SYT8
99929488	99987110	X	SYTL4
64889252	64902004	11	SYVN1
16679070	16724640	1	SZRD1
39795746	39833065	22	TAB1
149539777	149732749	6	TAB2
38585704	38710546	8	TACC1
123748689	124014060	10	TACC2
1723227	1746898	4	TACC3
61678231	61685725	17	TACO1
59041099	59043166	1	TACSTD2
166825747	166845564	1	TADA1
7043626	7059679	4	TADA2B
9821544	9834695	3	TADA3
6627526	6633898	11	TAF10
34845555	34855866	6	TAF11
109605108	109618624	1	TAF13
34136459	34191619	17	TAF15
34136474	34191634	HG385_PATCH	TAF15
222731244	222763275	1	TAF1A
84211458	84220669	16	TAF1C
93463114	93517557	11	TAF1D
120743015	120845103	8	TAF2
60528525	60640866	20	TAF4
105127724	105148822	10	TAF5
229728858	229761794	1	TAF5L
99704693	99717464	7	TAF6
62538775	62554814	11	TAF6L
42018251	42055199	6	TAF8
68646811	68665840	5	TAF9
68646822	68665854	HSCHR5_1_CTG1	TAF9
159455500	159466184	6	TAGAP
117070037	117075498	11	TAGLN
747329	765024	11	TALDO1
11831916	11888393	3	TAMM41
11831916	11888393	HSCHR3_1_CTG1	TAMM41
68877507	69119083	16	TANGO6
161993419	162092732	2	TANK
27717482	27878922	17	TAOK1
32741696	32750465	HSCHR6_MHC_QBL	TAP1
32790967	32799736	HSCHR6_MHC_DBB	TAP1
32796593	32805362	HSCHR6_MHC_APD	TAP1
32902901	32911670	HSCHR6_MHC_SSTO	TAP1
32735310	32744079	HSCHR6_MHC_COX	TAP1
32966785	32975554	HSCHR6_MHC_MANN	TAP1
32812986	32821755	6	TAP1
32846466	32855235	HSCHR6_MHC_MCF	TAP1
32718320	32735268	HSCHR6_MHC_QBL	TAP2
32767739	32784536	HSCHR6_MHC_DBB	TAP2
32773366	32790162	HSCHR6_MHC_APD	TAP2
32879675	32896470	HSCHR6_MHC_SSTO	TAP2
32711936	32728881	HSCHR6_MHC_COX	TAP2
32943409	32960357	HSCHR6_MHC_MANN	TAP2
32789610	32806557	6	TAP2
32823109	32840035	HSCHR6_MHC_MCF	TAP2
16162128	16229033	4	TAPT1
33440802	33469644	5	TARS
13246709	13619587	20	TASP1
125500726	125551699	8	TATDN1
10289707	10322902	3	TATDN2
212965170	212989968	1	TATDN3
27778950	27884183	7	TAX1BP1
3566196	3571976	17	TAX1BP3
153639854	153650065	X	TAZ
30687979	30723035	22	TBC1D10A
30368423	30381585	16	TBC1D10B
96162261	96295687	10	TBC1D12
131549483	131572711	9	TBC1D13
72233487	72320629	12	TBC1D15
50380682	50392005	19	TBC1D17
416124	443197	20	TBC1D20
47158518	47571336	22	TBC1D22A
99979844	100044095	3	TBC1D23
2525147	2555735	16	TBC1D24
48397845	48420997	X	TBC1D25
48398856	48422008	HG1436_HG1432_PATCH	TBC1D25
78276378	78370066	15	TBC1D2B
36337711	36358166	17	TBC1D3
34493061	34503996	17	TBC1D3B
34493132	34503984	HG75_PATCH	TBC1D3B
34580902	34757050	17	TBC1D3C
34581086	34808061	17	TBC1D3H
101624079	101869328	2	TBC1D8
106045910	106119375	X	TBC1D8B
141541919	141677274	4	TBC1D9
179289066	179334859	5	TBC1D9B
76986991	77164604	5	TBCA
36605191	36616849	19	TBCB
42712219	42714558	6	TBCC
80709940	80900724	17	TBCD
235530675	235612283	1	TBCE
64845660	64895888	12	TBK1
176737143	176915261	3	TBL1XR1
2022038	2032934	16	TBL3
170863390	170881958	6	TBP
134273308	134311570	6	TBPL1
124492732	124505287	11	TBRG1
45139699	45151646	7	TBRG4
19744226	19771116	22	TBX1
5001	15630	LRG_226	LRG_226
119425669	119532179	1	TBX15
85397069	85474237	6	TBX18
45810610	45823485	17	TBX21
92246095	92333880	14	TC2N
44379611	44450943	3	TCAIM
54879112	54935089	8	TCEA1
62681189	62703700	20	TCEA2
102883632	102885881	X	TCEAL1
102862379	102884618	X	TCEAL3
102831159	102842657	X	TCEAL4
101395448	101397942	X	TCEAL6
101395448	101397942	HG1440_PATCH	TCEAL6
102507923	102510131	X	TCEAL8
74851404	74884522	8	TCEB1
2821415	2827298	16	TCEB2
145826874	145891524	5	TCERG1
57210821	57591479	15	TCF12
42556019	42739622	22	TCF20
42543863	42727524	HSCHR22_1_CTG1	TCF20
1609291	1652604	19	TCF3
52889562	53332018	18	TCF4
133450402	133487556	5	TCF7
85360533	85537511	2	TCF7L1
61472467	61493115	20	TCFL5
110338069	110421646	12	TCHP
67806483	67818362	11	TCIRG1
5001	16884	LRG_115	LRG_115
31002825	31023265	22	TCN2
5001	24887	LRG_116	LRG_116
149737202	149779871	5	TCOF1
160199530	160210781	6	TCP1
33060963	33127489	11	TCP11L1
97423158	97453900	10	TCTN3
24650205	24667261	6	TDP2
154474695	154520623	1	TDRD10
60970591	61148012	13	TDRD3
439803	495781	8	TDRP
12695969	12966298	11	TEAD1
49843852	49865714	19	TEAD2
35441374	35464853	6	TEAD3
3068496	3149839	12	TEAD4
102829300	102968818	14	TECPR2
14627897	14676792	19	TECR
41763337	41795330	22	TEF
29224354	29233838	17	TEFM
27109139	27230173	9	TEK
95635180	95640576	HG686_PATCH	TEKT4
95537178	95542574	2	TEKT4
9907190	9968585	21	TEKT4P2
73975301	73996667	17	TEN1
73975312	74002080	17	TEN1-CDK3
123509753	124097666	X	TENM1
183065140	183724177	4	TENM3
78363876	79151992	11	TENM4
20833826	20881588	14	TEP1
69389464	69442474	16	TERF2
117476728	117537284	12	TESC
35605367	35610038	9	TESK1
106067032	106200973	4	TET2
103064359	103115221	9	TEX10
71213068	71222075	2	TEX261
71213069	71222076	HG953_PATCH	TEX261
103418340	103426161	13	TEX30
60144782	60158981	10	TFAM
10393419	10419892	6	TFAP2A
55204358	55214339	20	TFAP2C
4307187	4323076	16	TFAP4
246703862	246729626	1	TFB2M
114239013	114295785	13	TFDP1
48886242	48901012	X	TFE3
48888130	48902885	HG1436_HG1432_PATCH	TFE3
100428205	100467810	3	TFG
26887191	26908471	22	TFIP11
188328957	188430487	2	TFPI
54610320	54619055	19	TFPT
54610267	54618929	HG1079_PATCH	TFPT
54610320	54619055	HSCHR19LRC_COX1_CTG1	TFPT
54610320	54619055	HSCHR19LRC_COX2_CTG1	TFPT
54610320	54619055	HSCHR19LRC_LRC_I_CTG1	TFPT
54610320	54619055	HSCHR19LRC_LRC_T_CTG1	TFPT
54610320	54619055	HSCHR19LRC_LRC_S_CTG1	TFPT
54610320	54619055	HSCHR19LRC_LRC_J_CTG1	TFPT
54610320	54619055	HSCHR19LRC_PGF1_CTG1	TFPT
54610320	54619055	HSCHR19LRC_PGF2_CTG1	TFPT
95226308	95248511	13	TGDS
41807492	41859816	19	TGFB1
31482906	31489281	16	TGFB1I1
30647994	30735634	3	TGFBR2
56685701	56738007	8	TGS1
42691817	42698468	8	THAP1
67876213	67878097	16	THAP11
72056789	72074419	12	THAP2
6684926	6695646	1	THAP3
242523820	242576864	2	THAP4
108194987	108210194	7	THAP5
76439156	76475683	4	THAP6
21353393	21356485	22	THAP7
39873280	39891667	15	THBS1
169615875	169654139	6	THBS2
155165379	155178842	1	THBS3
128029217	128239776	6	THEMIS
214520	268050	18	THOC1
122734412	122866906	X	THOC2
29901868	29951205	22	THOC5
3074028	3077756	16	THOC6
63819546	63849579	3	THOC7
2785458	2813599	19	THOP1
184089723	184095932	3	THPO
38214543	38250120	17	THRA
36690017	36770958	1	THRAP3
137523115	138435287	2	THSD7B
39963200	40006407	2	THUMPD2
9404526	9428475	3	THUMPD3
119288090	119295695	11	THY1
134118173	134123264	11	THYN1
27400537	27418537	17	TIAF1
121334199	121356541	10	TIAL1
32490734	32932290	21	TIAM1
4815944	4831716	19	TICAM1
5001	20819	LRG_358	LRG_358
114914339	114961876	5	TICAM2
90118713	90174287	15	TICRR
43766664	43788779	1	TIE1
113195698	113207059	4	TIFA
144680074	144682485	8	TIGD5
3348832	3355729	16	TIGD7
57295936	57298276	11	TIMM10
6502677	6505909	11	TIMM10B
2425622	2427892	19	TIMM13
201924619	201939789	1	TIMM17A
71815746	71826197	18	TIMM21
900357	906911	17	TIMM22
7991603	8008805	19	TIMM44
39971052	39984422	19	TIMM50
111955524	111957522	11	TIMM8B
58875212	58894332	14	TIMM9
119217379	119243937	3	TIMMDC1
47441712	47446188	X	TIMP1
32042116	32053288	1	TINAGL1
24708849	24711880	14	TINF2
156391024	156424559	3	TIPARP
126152960	126168740	11	TIRAP
43445261	43474294	6	TJAP1
29991571	30261068	15	TJP1
3708107	3750811	19	TJP3
76170160	76183314	17	TK1
66541906	66586447	16	TK2
53258723	53290068	3	TKT
53258723	53290068	HG957_PATCH	TKT
27051366	27054953	17	TLCD1
2997636	3047633	19	TLE2
82186688	82341658	9	TLE4
60536019	60692842	17	TLK2
166794410	167025047	4	TLL1
62682725	63136830	15	TLN2
38792298	38858438	4	TLR1
38773860	38784611	4	TLR10
120466610	120479149	9	TLR4
38825336	38858438	4	TLR6
52255096	52273183	3	TLR9
62146718	62191095	1	TM2D1
38846327	38854343	8	TM2D2
102161847	102192594	15	TM2D3
149036285	149052201	3	TM4SF18
83776159	83813606	15	TM6SF1
64879317	64883856	11	TM7SF2
24658349	24682679	14	TM9SF1
100153671	100216260	13	TM9SF2
30697309	30755061	20	TM9SF4
164415594	164441691	4	TMA16
48481667	48485616	3	TMA7
66517709	66563852	12	TMBIM4
76126851	76139049	17	TMC8
5001	17191	LRG_119	LRG_119
129366635	129612419	3	TMCC1
94960900	95044338	12	TMCC3
114145310	114204542	13	TMCO3
20008706	20126438	1	TMCO4
140019012	140024993	5	TMCO6
10943114	10946994	19	TMED1
75598173	75643334	14	TMED10
124069078	124083116	12	TMED2
93615299	93646285	1	TMED5
114949205	114968689	5	TMED7
114914339	114961858	5	TMED7-TICAM2
42088556	42101314	17	TMEM101
7338762	7340998	17	TMEM102
72772622	72835918	17	TMEM104
12250867	12282993	7	TMEM106B
48357352	48362661	12	TMEM106C
8076555	8079717	17	TMEM107
60681346	60690915	11	TMEM109
21100593	21117937	17	TMEM11
50392180	50397041	3	TMEM115
108983622	108992096	12	TMEM119
75616155	75623977	7	TMEM120A
75451794	75459616	HG1257_PATCH	TMEM120A
122150658	122220907	12	TMEM120B
102267063	102341115	11	TMEM123
43735665	43739673	1	TMEM125
85359011	85367591	11	TMEM126A
85339629	85347580	11	TMEM126B
96914254	96931732	2	TMEM127
4237269	4249950	4	TMEM128
1717679	1723085	4	TMEM129
98475800	98500083	HG946_PATCH	TMEM130
98444111	98468394	7	TMEM130
100862811	100864663	11	TMEM133
67231824	67236743	11	TMEM134
86748886	87034800	11	TMEM135
120195838	120204391	11	TMEM136
61129473	61136981	11	TMEM138
134832824	134850967	7	TMEM140
139685807	139687709	9	TMEM141
48835613	48867494	19	TMEM143
159122756	159176563	4	TMEM144
36036497	36038428	19	TMEM147
10747992	10852986	6	TMEM14B
10723148	10731362	6	TMEM14C
55824169	55845416	19	TMEM150B
66059341	66064135	11	TMEM151A
21169698	21191937	16	TMEM159
19229978	19249322	19	TMEM161A
135213330	135476570	2	TMEM163
109632425	109639556	1	TMEM167B
75476952	75499395	16	TMEM170A
138855119	138862520	5	TMEM173
926175	952444	4	TMEM175
150497491	150502208	7	TMEM176A
150488373	150498448	7	TMEM176B
62554887	62557877	11	TMEM179B
158957468	159056460	6	TMEM181
1581871	1600457	7	TMEM184A
38615298	38669040	22	TMEM184B
148538534	148593195	4	TMEM184C
148678216	148713568	X	TMEM185A
120978854	120980984	2	TMEM185B
48697663	48770335	20	TMEM189
48697661	48770174	20	TMEM189-UBE2V1
72079867	72097836	12	TMEM19
220408385	220415317	2	TMEM198
26684604	26708716	17	TMEM199
26684604	26690705	HG883_PATCH	TMEM199
140098534	140100090	9	TMEM203
1578689	1605581	16	TMEM204
129804555	129847610	7	TMEM209
171561139	171656505	3	TMEM212
27255778	27264563	2	TMEM214
61159159	61166335	11	TMEM216
124966398	124981659	11	TMEM218
27648651	27662891	1	TMEM222
62539101	62559493	11	TMEM223
67913801	68000456	14	TMEM229B
