Gene Start (bp)	Gene End (bp)	Chromosome Name	HGNC symbol
50084972	50100712	12	SMARCD1
63832081	63843065	17	SMARCD2
40624962	40648508	17	SMARCE1
53374149	53422728	X	SMC1A
110567691	110604636	10	SMC3
70258962	70354888	9	SMC5
2655738	2805017	18	SMCHD1
93478472	93543508	11	SMCO4
18315310	18328055	17	SMCR8
2059839	2303771	17	SMG6
59209400	59215247	17	SMG8
43727992	43754990	19	SMG9
135095028	135098634	X	SMIM10L2B
39546330	39639090	4	SMIM14
61157709	61162474	5	SMIM15
42541155	42555193	8	SMIM19
150777946	150796734	5	SMIM3
70925030	70953942	5	SMN1
70049612	70078522	5	SMN2
110290730	110304951	10	SMNDC1
109440763	109443919	6	SMPD2
130151392	130182750	2	SMPD4
27934993	27959157	1	SMPDL3B
21940573	21994835	X	SMS
33041764	33076659	9	SMU1
99027438	99144100	7	SMURF1
64542295	64662068	17	SMURF2
1779485	1830634	17	SMYD4
73214222	73227237	2	SMYD5
49982999	49988886	20	SNAI1
48917690	48921740	8	SNAI2
20858983	20891218	22	SNAP29
227728539	227781231	1	SNAP47
15422704	15465953	9	SNAPC3
136375577	136398797	9	SNAPC4
66490135	66497813	15	SNAPC5
153658654	153661830	1	SNAPIN
86958618	86963260	10	SNCG
48929316	48945117	17	SNF8
38446578	38450921	20	SNHG11
118278709	118279823	4	SNHG8
11668414	11679159	16	SNN
118279190	118279320	4	SNORA24
93730513	93730646	11	SNORA25
93732361	93732499	11	SNORA8
25059538	25059633	15	SNORD116-4
43286512	43424764	3	SNRK
53010	57669	16	SNRNP25
123457641	123473154	12	SNRNP35
31259568	31296782	1	SNRNP40
7590199	7611967	6	SNRNP48
49085419	49108605	19	SNRNP70
40750637	40765389	19	SNRPA
2461634	2470853	20	SNRPB
16729961	16742563	20	SNRPB2
34757406	34773794	6	SNRPC
21612267	21633524	18	SNRPD1
45687454	45692569	19	SNRPD2
24555503	24609980	22	SNRPD3
95858928	95903828	12	SNRPF
24823637	24978723	15	SNRPN
120535745	120813273	8	SNTB1
75598083	75626469	15	SNUPN
24954986	24977850	15	SNURF
77717599	77761207	14	SNW1
48103357	48123074	17	SNX11
71056332	71073426	X	SNX12
17790761	17940501	7	SNX13
85505496	85594156	6	SNX14
65027408	65040572	11	SNX15
130875436	130916509	11	SNX19
45833810	45843275	20	SNX21
64151715	64157481	15	SNX22
108211222	108261260	6	SNX3
112750838	112881671	9	SNX30
75647906	75662301	15	SNX33
125446644	125520197	3	SNX4
17941597	17968980	20	SNX5
34561094	34630183	14	SNX6
2251770	2354318	7	SNX8
107489958	107660167	6	SOBP
93569814	93583487	12	SOCS2
78356778	78360077	17	SOCS3
55027230	55049488	14	SOCS4
70288901	70330200	18	SOCS6
38352228	38405593	17	SOCS7
31659622	31668931	21	SOD1
36777442	36863686	20	SOGA1
36168208	36214615	13	SOHLH2
33542618	33577481	21	SON
95311771	95561414	10	SORBS1
185585444	185956652	4	SORBS2
22544986	22575788	8	SORBS3
38981396	39124345	2	SOS1
50117120	50231558	14	SOS2
132813587	132816797	5	SOWAHA
109614334	109618990	2	SOWAHC
325401	330224	20	SOX12
54457935	54460888	8	SOX17
64047582	64049641	20	SOX18
10723768	10730512	8	SOX7
53380176	53416446	12	SP1
230415942	230544090	2	SP100
230167293	230225729	2	SP110
47896150	47928957	17	SP2
21428034	21514822	7	SP4
170715351	170718078	2	SP5
47844908	47855874	17	SP6
48606743	48607714	19	SPACA4
100157906	100259278	8	SPAG1
35615892	35621049	20	SPAG4
28577565	28599279	17	SPAG5
4959226	4967872	17	SPAG7
50962174	51120865	17	SPAG9
32063611	32157637	2	SPAST
23979805	24307074	13	SPATA13
49903391	49915508	20	SPATA2
16387117	16437424	1	SPATA21
139396563	139404088	5	SPATA24
89696343	89701705	16	SPATA2L
122923074	123319450	4	SPATA5
45402331	45421419	15	SPATA5L1
95652181	95698711	5	SPATA9
52704955	52711146	3	SPCS1
74949247	74979031	11	SPCS2
176319964	176332245	4	SPCS3
34537802	34556333	6	SPDEF
28782517	28850611	2	SPDYA
44000889	44010122	7	SPDYE1
102551232	102562308	7	SPDYE2
75493625	75504304	7	SPDYE5
102347206	102356444	7	SPDYE6
72862757	72870510	7	SPDYE7P
24270817	24417740	22	SPECC1L
15847864	15940460	1	SPEN
68818221	68946811	15	SPESP1
44562696	44663678	15	SPG11
64963021	64990310	15	SPG21
89490917	89557768	16	SPG7
229304857	229305504	1	SPHAR
48619291	48630717	19	SPHK2
47354860	47378576	11	SPI1
47260575	47736306	8	SPIDR
88388419	88478694	9	SPIN1
57134530	57137625	X	SPIN2A
57118551	57121547	X	SPIN2B
56976370	56995537	X	SPIN3
63347228	63351344	X	SPIN4
40844018	40858207	15	SPINT1
12446512	12658134	18	SPIRE1
28974221	28984548	16	SPNS1
1166932	1208962	4	SPON2
49598884	49678234	17	SPOP
138501801	138573547	2	SPOPL
2328615	2354806	19	SPPL2B
120762510	120904371	12	SPPL3
72887360	72892158	2	SPR
133420666	133424572	10	SPRN
231337104	231355023	1	SPRTN
53064316	53079420	12	SPRYD3
49912706	49936490	13	SPRYD7
9292880	9369532	1	SPSB1
1776712	1793700	16	SPSB3
64746283	64879883	14	SPTB
66685248	66729226	11	SPTBN2
92031999	92115384	9	SPTLC1
13008979	13169103	20	SPTLC3
34432789	34462356	14	SPTSSA
18606401	18634791	11	SPTY2D1
179806398	179838078	5	SQSTM1
30698209	30741409	16	SRCAP
43171299	43181507	6	SRF
121961961	122075570	5	SRFBP1
11054584	11060024	1	SRM
40035739	40039188	15	SRP14
112861222	112869788	5	SRP19
34981957	35029567	14	SRP54
76038775	76072653	17	SRP68
56466915	56503680	4	SRP72
35832966	35921342	6	SRPK1
105110704	105399308	7	SRPK2
100644218	100671299	X	SRPX2
2303383	2325260	17	SRR
26483877	26494658	22	SRRD
24631716	24673267	1	SRRM1
43596617	43614497	19	SRRM5
100875111	100888664	7	SRRT
36594353	36605600	6	SRSF3
29147743	29181987	1	SRSF4
69726900	69772005	14	SRSF5
43457928	43464247	20	SRSF6
38743599	38751494	2	SRSF7
95067197	95071224	11	SRSF8
120461668	120469793	12	SRSF9
646615	653370	20	SRXN1
26016253	26091217	18	SS18
62143795	62182484	20	SS18L1
42581840	42595114	3	SS18L2
169791933	169812064	2	SSB
141738321	141787922	7	SSBP1
18418864	18434562	19	SSBP4
76389334	76409695	7	SSC4D
55488404	55519098	19	SSC5D
181891833	181930738	2	SSFA2
67303448	67312607	11	SSH3
137188647	137190370	9	SSNA1
26121991	26299290	12	SSPN
7268306	7347446	6	SSR1
156009048	156020959	1	SSR2
57325985	57335877	11	SSRP1
65570430	65573942	11	SSSCA1
1064093	1078731	16	SSTR5-AS1
1541673	1574869	1	SSU72
84643707	84690803	1	SSX2IP
130159562	130210376	11	ST14
133454848	133571940	8	ST3GAL1
126355640	126440344	11	ST3GAL4
85839144	85889014	2	ST3GAL5
98732236	98821201	3	ST3GAL6
8693351	8910951	11	ST5
76624761	76643838	17	ST6GALNAC1
76074719	76634601	1	ST6GALNAC3
76867441	77065711	1	ST6GALNAC5
100806935	100903266	5	ST8SIA4
52495338	52524495	3	STAB1
103587273	103766727	12	STAB2
39210536	39225872	17	STAC2
123960212	124422664	X	STAG2
17644125	17715914	10	STAM
152116801	152175992	2	STAM2
72754729	72794168	11	STARD10
39637065	39663484	17	STARD3
38178222	38230671	7	STARD3NL
111496033	111512590	5	STARD4
96184859	96208825	2	STARD7
68647666	68725842	X	STARD8
56341597	56360155	12	STAT2
191029576	191151596	2	STAT4
42287547	42311943	17	STAT5A
42199168	42276707	17	STAT5B
49113339	49188367	20	STAU1
73420369	73747708	8	STAU2
90154375	90164829	7	STEAP1
22419444	22632925	7	STEAP1B
90167590	90238137	7	STEAP2
88270892	88306891	7	STEAP4
47250139	47314147	1	STIL
64185272	64204543	11	STIP1
172042073	172188386	5	STK10
1177558	1228435	19	STK11
219245455	219250337	2	STK16
43582758	43626786	7	STK17A
196133566	196176503	2	STK17B
31971091	31982821	6	STK19
98445185	98577940	13	STK24
241492674	241509730	2	STK25
132023265	132075943	X	STK26
2101611	2177038	20	STK35
218672026	218702716	2	STK36
27243968	27325959	12	STK38L
167954020	168248141	2	STK39
44966474	45079959	20	STK4
35099776	35103195	9	STOML2
48529383	48598513	2	STON1
48529925	48776517	2	STON1-GTF2A1L
183853431	184023526	4	STOX2
82018702	82024107	17	STRA13
63702832	63741970	17	STRADA
201387858	201480846	2	STRADB
15882391	15903478	12	STRAP
110031577	110074641	1	STRIP1
30893799	31026401	14	STRN3
46719507	46746994	19	STRN4
7219456	7354810	X	STS
125591712	125625215	11	STT3A
680224	682870	16	STUB1
13144058	13150383	19	STX10
144150526	144188370	6	STX11
58651253	58679526	20	STX16
99906633	99970341	9	STX17
4415742	4542346	4	STX18
31032889	31042975	16	STX4
62806897	62832088	11	STX5
7636881	7647873	19	STXBP2
108746674	108809526	1	STXBP3
54968727	55173632	17	STXBP4
52730180	52774998	14	STYX
32531633	32604079	5	SUB1
47936491	48001354	13	SUCLA2
84423523	84460045	2	SUCLG1
118376380	118418031	12	SUDS3
102503987	102633535	10	SUFU
40134977	40860763	7	SUGCT
19276018	19320844	19	SUGP1
18990888	19034023	19	SUGP2
69466624	69660915	8	SULF1
47656348	47786616	20	SULF2
30199228	30204310	16	SULT1A3
202206180	202238608	2	SUMO1
75165586	75182983	17	SUMO2
44805617	44818779	21	SUMO3
816615	896435	7	SUN1
38734725	38794143	22	SUN2
55997180	56006641	12	SUOX
21351472	21384266	14	SUPT16H
37009312	37059713	13	SUPT20H
58345175	58353093	17	SUPT4H1
39436156	39476670	19	SUPT5H
28662091	28702684	17	SUPT6H
27650812	27663840	2	SUPT7L
69180232	69209099	10	SUPV3L1
133356552	133361169	9	SURF2
133328774	133336398	9	SURF6
93058688	93085138	9	SUSD3
48695554	48709012	X	SUV39H1
14878820	14904315	10	SUV39H2
31937018	32001045	17	SUZ12
110365251	110579880	9	SVEP1
22813799	22830299	11	SVIP
185157080	185291765	1	SWT1
16719632	16765336	X	SYAP1
109573978	109691791	8	SYBU
77199397	77213215	16	SYCE1L
25222679	25232502	1	SYF2
90801787	90898549	9	SYK
12004402	12191400	3	SYN2
32680360	32703596	1	SYNC
85607785	85643792	6	SYNCRIP
152121684	152637801	6	SYNE1
32628759	32728048	21	SYNJ1
70366496	70417061	14	SYNJ2BP
150601080	150659220	5	SYNPO
37514797	37609496	17	SYNRG
106090503	106112576	7	SYPL1
19167971	19268334	16	SYT17
61515313	61581148	11	SYT7
1828307	1837521	11	SYT8
100674491	100732123	X	SYTL4
65121780	65134533	11	SYVN1
16352575	16398145	1	SZRD1
39399741	39437060	22	TAB1
149218641	149411613	6	TAB2
38728186	38853028	8	TACC1
121989174	122254545	10	TACC2
1721490	1745176	4	TACC3
63600872	63608365	17	TACO1
58575423	58577773	1	TACSTD2
166856510	166876327	1	TADA1
7041899	7057952	4	TADA2B
9779860	9793011	3	TADA3
6606296	6612667	11	TAF10
34877778	34888089	6	TAF11
109062486	109076002	1	TAF13
35713791	35864615	17	TAF15
222557902	222589933	1	TAF1A
84177847	84187070	16	TAF1C
93729948	93784391	11	TAF1D
119730775	119832863	8	TAF2
61953469	62065810	20	TAF4
103367967	103389065	10	TAF5
229593111	229626047	1	TAF5L
100107070	100119841	7	TAF6
62771303	62787342	11	TAF6L
42050513	42087461	6	TAF8
69364743	69370013	5	TAF9
159034468	159045152	6	TAGAP
117199321	117204782	11	TAGLN
747329	765024	11	TALDO1
11790442	11846919	3	TAMM41
68843604	69085180	16	TANGO6
161136908	161236221	2	TANK
29390464	29551904	17	TAOK1
32845209	32853978	6	TAP1
32821833	32838780	6	TAP2
16160505	16227410	4	TAPT1
33440696	33469539	5	TARS
13389392	13638940	20	TASP1
124488485	124539458	8	TATDN1
10248023	10281218	3	TATDN2
212791828	212816626	1	TATDN3
27739331	27844564	7	TAX1BP1
3662896	3668682	17	TAX1BP3
154411518	154421726	X	TAZ
30291990	30327046	22	TBC1D10A
30357102	30370264	16	TBC1D10B
94402504	94535930	10	TBC1D12
128787204	128810432	9	TBC1D13
71839707	71927248	12	TBC1D15
49877425	49888749	19	TBC1D17
435480	462553	20	TBC1D20
46762617	47175699	22	TBC1D22A
100261000	100325251	3	TBC1D23
2475118	2505734	16	TBC1D24
48539457	48562609	X	TBC1D25
77984036	78077724	15	TBC1D2B
38181659	38192541	17	TBC1D3
36165624	36264527	17	TBC1D3B
37978470	38068592	17	TBC1D3C
36377531	36388423	17	TBC1D3H
101007617	101252866	2	TBC1D8
106802680	106876145	X	TBC1D8B
140620765	140756120	4	TBC1D9
179862066	179907859	5	TBC1D9B
77691166	77868780	5	TBCA
36114289	36125947	19	TBCB
42744481	42746096	6	TBCC
82752064	82945922	17	TBCD
235367360	235448968	1	TBCE
64451880	64502108	12	TBK1
177019355	177197396	3	TBL1XR1
1972037	1982933	16	TBL3
170554302	170572870	6	TBP
133952170	133990432	6	TBPL1
124622836	124635398	11	TBRG1
45100100	45112047	7	TBRG4
19756703	19783593	22	TBX1
118883046	118989556	1	TBX15
84687351	84764519	6	TBX18
47733244	47746119	17	TBX21
91779751	91867536	14	TC2N
44338119	44409451	3	TCAIM
53966552	54022529	8	TCEA1
64049836	64072347	20	TCEA2
103628704	103630953	X	TCEAL1
103607451	103629690	X	TCEAL3
103576231	103587736	X	TCEAL4
102140476	102142970	X	TCEAL6
103252995	103255203	X	TCEAL8
73939169	73972287	8	TCEB1
2771414	2777297	16	TCEB2
146447311	146511961	5	TCERG1
56918623	57299281	15	TCF12
42160013	42343616	22	TCF20
1609290	1652605	19	TCF3
55222331	55664787	18	TCF4
134114711	134151865	5	TCF7
85133410	85310388	2	TCF7L1
62841115	62861763	20	TCFL5
109900264	109983841	12	TCHP
68039016	68050895	11	TCIRG1
30606838	30627278	22	TCN2
150357639	150400308	5	TCOF1
159778498	159789749	6	TCP1
33039417	33105943	11	TCP11L1
95663396	95694143	10	TCTN3
24649977	24667033	6	TDP2
154502219	154548147	1	TDRD10
60396457	60573878	13	TDRD3
489792	545781	8	TDRP
12674591	12944483	11	TEAD1
49340595	49362457	19	TEAD2
35473597	35497076	6	TEAD3
2959330	3040673	12	TEAD4
102362963	102502481	14	TECPR2
14517085	14565980	19	TECR
41367333	41399326	22	TEF
30897336	30906820	17	TEFM
27109141	27230175	9	TEK
94871433	94876829	2	TEKT4
9068361	9129752	21	TEKT4P2
75979220	76000586	17	TEN1
75979231	76005999	17	TEN1-CDK3
124375903	124963817	X	TENM1
182143987	182803024	4	TENM3
78652831	79440948	11	TENM4
20365667	20413429	14	TEP1
69355561	69408571	16	TERF2
117038923	117099479	12	TESC
35605305	35610041	9	TESK1
105145875	105279816	4	TET2
100302077	100352939	9	TEX10
70985938	70994945	2	TEX261
102765990	102773811	13	TEX30
58385022	58399221	10	TFAM
10393186	10419659	6	TFAP2A
56629302	56639283	20	TFAP2C
4257186	4273075	16	TFAP4
246540560	246566324	1	TFB2M
113584721	113641470	13	TFDP1
49028726	49043486	X	TFE3
100709331	100748966	3	TFG
26491225	26512505	22	TFIP11
187464230	187565760	2	TFPI
54107013	54115675	19	TFPT
94574051	94596257	13	TGDS
41301587	41353911	19	TGFB1
31471585	31477960	16	TGFB1I1
30606502	30694142	3	TGFBR2
55773142	55825448	8	TGS1
42836674	42843325	8	THAP1
67842082	67844195	16	THAP11
71663009	71680639	12	THAP2
6624866	6635586	1	THAP3
241584405	241637449	2	THAP4
108554543	108569750	7	THAP5
75513946	75550473	4	THAP6
20999104	21002196	22	THAP7
39581079	39599466	15	THBS1
169215780	169254044	6	THBS2
155195588	155209051	1	THBS3
127708072	127918631	6	THEMIS
214520	268050	18	THOC1
123600561	123733056	X	THOC2
29505879	29555216	22	THOC5
3024027	3027755	16	THOC6
63833870	63863903	3	THOC7
2785460	2815807	19	THOP1
184371935	184378144	3	THPO
40058290	40093867	17	THRA
36224416	36305357	1	THRAP3
136765545	137677717	2	THSD7B
39736060	39779267	2	THUMPD2
9362842	9386791	3	THUMPD3
119417378	119424985	11	THY1
134248279	134253370	11	THYN1
29073521	29078857	17	TIAF1
119571802	119597029	10	TIAL1
31118416	31559977	21	TIAM1
4815932	4831704	19	TICAM1
115578650	115602479	5	TICAM2
89575482	89631056	15	TICRR
43300993	43323108	1	TIE1
112274542	112285903	4	TIFA
143597835	143603224	8	TIGD5
3298832	3305729	16	TIGD7
57528463	57530803	11	TIMM10
6481447	6484679	11	TIMM10B
2425624	2427894	19	TIMM13
201955491	201970661	1	TIMM17A
74148511	74160530	18	TIMM21
997117	1003671	17	TIMM22
7926718	7943920	19	TIMM44
39480412	39493785	19	TIMM50
112084800	112086798	11	TIMM8B
58408494	58427614	14	TIMM9
119498532	119525090	3	TIMMDC1
47582313	47586789	X	TIMP1
31576485	31587686	1	TINAGL1
24239643	24242674	14	TINF2
156673235	156706770	3	TIPARP
126283065	126298845	11	TIRAP
43477523	43506556	6	TJAP1
29699367	29968865	15	TJP1
3708109	3750813	19	TJP3
78174075	78187233	17	TK1
66508003	66552544	16	TK2
53224707	53256052	3	TKT
28724348	28727935	17	TLCD1
2997638	3047635	19	TLE2
79571773	79726882	9	TLE4
62458658	62615481	17	TLK2
165873258	166103895	4	TLL1
62390526	62844631	15	TLN2
38790677	38856817	4	TLR1
38772239	38782990	4	TLR10
117704332	117716871	9	TLR4
38823715	38856817	4	TLR6
52221080	52226163	3	TLR9
61681046	61725423	1	TM2D1
38988808	38996824	8	TM2D2
101621444	101652391	15	TM2D3
149318498	149334414	3	TM4SF18
83107407	83144854	15	TM6SF1
65111845	65116384	11	TM7SF2
24189143	24195687	14	TM9SF1
99501417	99564006	13	TM9SF2
32109506	32167258	20	TM9SF4
163494442	163520539	4	TMA16
48440257	48444208	3	TMA7
66135846	66170072	12	TMBIM4
78130770	78142968	17	TMC8
129647792	129893576	3	TMCC1
94567124	94650562	12	TMCC3
113490995	113554590	13	TMCO3
19682213	19799945	1	TMCO4
140639427	140645408	5	TMCO6
10832438	10836318	19	TMED1
75131470	75176631	14	TMED10
123584531	123598577	12	TMED2
93149742	93180728	1	TMED5
115613508	115632992	5	TMED7
115578642	115626161	5	TMED7-TICAM2
44011188	44023946	17	TMEM101
7435443	7437679	17	TMEM102
74776483	74839779	17	TMEM104
12211241	12243367	7	TMEM106B
47963569	47968878	12	TMEM106C
8173237	8176399	17	TMEM107
60913874	60923443	11	TMEM109
21197280	21214624	17	TMEM11
50354749	50359610	3	TMEM115
108589846	108598320	12	TMEM119
75986837	75994659	7	TMEM120A
121712752	121783001	12	TMEM120B
102396332	102470384	11	TMEM123
43269994	43274002	1	TMEM125
85647967	85656547	11	TMEM126A
85628573	85636539	11	TMEM126B
96248516	96265994	2	TMEM127
4235542	4248212	4	TMEM128
1715952	1721358	4	TMEM129
98846488	98870771	7	TMEM130
100991989	100993941	11	TMEM133
67461710	67469272	11	TMEM134
87037844	87323758	11	TMEM135
120325129	120333682	11	TMEM136
61362001	61369509	11	TMEM138
135148072	135166215	7	TMEM140
136791355	136793257	9	TMEM141
48332356	48364237	19	TMEM143
158201604	158255411	4	TMEM144
35545595	35547526	19	TMEM147
10747759	10852753	6	TMEM14B
10722915	10731129	6	TMEM14C
55312801	55334048	19	TMEM150B
66291870	66296664	11	TMEM151A
21158377	21180616	16	TMEM159
19119169	19138513	19	TMEM161A
134455759	134719000	2	TMEM163
109089803	109096934	1	TMEM167B
75443054	75465497	16	TMEM170A
139475534	139482935	5	TMEM173
932387	958656	4	TMEM175
150800403	150805120	7	TMEM176A
150791285	150801360	7	TMEM176B
62787415	62790405	11	TMEM179B
158536436	158635428	6	TMEM181
1542235	1560821	7	TMEM184A
38219291	38273034	22	TMEM184B
147617383	147672044	4	TMEM184C
149596556	149631912	X	TMEM185A
120221278	120223408	2	TMEM185B
50118254	50153734	20	TMEM189
50081124	50153637	20	TMEM189-UBE2V1
71686087	71705046	12	TMEM19
219543663	219550595	2	TMEM198
28357581	28363683	17	TMEM199
137204082	137205638	9	TMEM203
1528688	1555580	16	TMEM204
130164715	130207770	7	TMEM209
171843349	171938715	3	TMEM212
27032910	27041695	2	TMEM214
61391687	61398863	11	TMEM216
125096545	125111763	11	TMEM218
27322145	27336400	1	TMEM222
62771629	62792021	11	TMEM223
67447084	67533739	14	TMEM229B
5068232	5113103	20	TMEM230
32214472	32222359	1	TMEM234
201620184	201643570	2	TMEM237
23197144	23437961	18	TMEM241
157289386	157323601	6	TMEM242
87196160	87220587	7	TMEM243
66921225	66958551	7	TMEM248
118531041	118547280	11	TMEM25
93184951	93187089	14	TMEM251
80078646	80092557	10	TMEM254
7402975	7404137	17	TMEM256
7389727	7394843	17	TMEM256-PLSCR3
61768501	61792802	11	TMEM258
1009648	1021179	19	TMEM259
7796490	7888380	9	TMEM261
106955719	106978778	12	TMEM263
41935120	41960572	4	TMEM33
119429901	119438520	2	TMEM37
32072031	32102866	1	TMEM39B
185476496	185499057	3	TMEM41A
9280654	9314780	11	TMEM41B
14124940	14143679	3	TMEM43
100492619	100577444	3	TMEM45A
25337917	25362361	1	TMEM50A
33432485	33480011	21	TMEM50B
90993796	91041064	8	TMEM55A
20457719	20461612	14	TMEM55B
54026681	54053504	1	TMEM59
43123279	43185146	15	TMEM62
44126914	44155519	6	TMEM63B
124306189	124372692	8	TMEM65
55696424	55773407	8	TMEM68
73972437	73982783	8	TMEM70
132685007	132760712	8	TMEM71
18693122	18704785	11	TMEM86A
42210452	42273663	15	TMEM87A
28319095	28328685	17	TMEM97
8947294	8965011	11	TMEM9B
69019827	69052303	3	TMF1
97501180	97601748	9	TMOD1
51751561	51816368	15	TMOD2
41464551	41531116	21	TMPRSS2
42371890	42396846	21	TMPRSS3
88142296	88199887	12	TMTC3
44186970	44191731	17	TMUB2
51240162	51257546	14	TMX1
57712600	57740973	11	TMX2
68673688	68715298	18	TMX3
7977348	8019829	20	TMX4
31575567	31578336	6	TNF
28335602	28347009	17	TNFAIP1
137867188	137883312	6	TNFAIP3
119268692	119399688	5	TNFAIP8
51056598	51105276	15	TNFAIP8L3
23190452	23225126	8	TNFRSF10A
23020133	23069179	8	TNFRSF10B
23084355	23117437	8	TNFRSF10C
23135588	23164030	8	TNFRSF10D
3018445	3022383	16	TNFRSF12A
16929816	16972118	17	TNFRSF13B
11965107	11968068	16	TNFRSF17
12167003	12209228	1	TNFRSF1B
47231532	47309905	6	TNFRSF21
6461151	6466195	1	TNFRSF25
12063377	12144207	1	TNFRSF8
172505508	172523507	3	TNFSF10
7549099	7561601	17	TNFSF12-TNFSF13
7558292	7561608	17	TNFSF13
114784635	114806126	9	TNFSF15
114893343	114930595	9	TNFSF8
6530999	6535928	19	TNFSF9
151029945	151093577	5	TNIP1
2741648	2756376	4	TNIP2
7380534	7389774	17	TNK1
9555914	9782346	8	TNKS
57299638	57324952	11	TNKS1BP1
91798312	91865276	10	TNKS2
175067858	175148066	1	TNN
12699194	12724011	19	TNPO2
24729695	24827632	16	TNRC6A
40044817	40335808	22	TNRC6B
47275154	47582558	7	TNS3
40475828	40501597	17	TNS4
32041154	32115334	6	TNXB
45339670	45343975	1	TOE1
1274371	1309654	11	TOLLIP
54899387	54961956	17	TOM1L1
235109336	235128936	1	TOMM20
38681948	38685421	22	TOMM22
44942130	44960486	20	TOMM34
44890569	44903689	19	TOMM40
161225939	161230744	1	TOMM40L
37582646	37592642	9	TOMM5
41787662	41789898	6	TOMM6
100363431	100401398	3	TOMM70A
144428775	144444444	8	TONSL
143304384	143359979	8	TOP1MT
25597905	25664907	3	TOP2B
18271428	18315007	17	TOP3A
21957025	21982816	22	TOP3B
133598175	133661893	3	TOPBP1
32540544	32552553	9	TOPORS
129812944	129824134	9	TOR1A
179839967	179877803	1	TOR1AIP2
129803153	129811281	9	TOR1B
21476597	21499175	14	TOX4
43403061	43510728	15	TP53BP1
44885903	44951306	11	TP53I11
29566052	29573157	17	TP53I13
94925972	94949411	8	TP53INP1
46684365	46689779	20	TP53RK
3652520	3736201	1	TP73
82363206	82370828	6	TPBG
69048897	69090604	11	TPCN2
125119049	125264407	6	TPD52L1
63865228	63891545	20	TPD52L2
507497	519654	19	TPGS1
36777647	36829216	18	TPGS2
6867119	6870948	12	TPI1
63042632	63071915	15	TPM1
35681992	35691020	9	TPM2
154155304	154194648	1	TPM3
18128311	18155074	6	TPMT
1374223	1543711	2	TPO
102597003	102679958	13	TPP2
67389809	67393535	16	TPPP3
127573069	127598251	3	TPRA1
188947214	189325304	3	TPRG1
1240696	1242554	16	TPSAB1
1227272	1230184	16	TPSB2
1256059	1258998	16	TPSD1
66205199	66420543	7	TPST1
26521983	26596717	22	TPST2
45333471	45341370	13	TPT1
31739271	31801805	20	TPX2
23504780	23532041	7	TRA2A
185915906	185938136	3	TRA2B
50185915	50199598	22	TRABD
67154180	67160298	16	TRADD
136881912	136926607	9	TRAF2
238320441	238400900	2	TRAF3IP1
111556454	111606278	6	TRAF3IP2
28743984	28750958	17	TRAF4
36487027	36510272	11	TRAF6
2155698	2178129	16	TRAF7
49828599	49856574	3	TRAIP
42013802	42225889	3	TRAK1
70573442	70608387	8	TRAM1
52497402	52576915	6	TRAM2
36826820	36945057	3	TRANK1
3651639	3717597	16	TRAP1
7930345	7932123	17	TRAPPC1
44012319	44106552	21	TRAPPC10
183659267	183713594	4	TRAPPC11
65624716	65666233	5	TRAPPC13
13712244	13734635	X	TRAPPC2
88856220	88862686	16	TRAPPC2L
36136570	36156053	1	TRAPPC3
119018432	119025454	11	TRAPPC4
39147811	39170532	14	TRAPPC6B
31829173	31953136	18	TRAPPC8
139730343	140458579	8	TRAPPC9
41158506	41163186	6	TREM2
42224931	42452051	6	TRERF1
120443961	120446412	12	TRIAP1
125430321	125438405	8	TRIB1
362835	397559	20	TRIB3
28953358	28958292	7	TRIL
49995888	50020481	13	TRIM13
15627960	15684311	17	TRIM16
18697998	18736118	17	TRIM16L
65589680	65625975	5	TRIM23
56887909	56914038	17	TRIM25
30184455	30213427	6	TRIM26
28903002	28923989	6	TRIM27
58544091	58550722	19	TRIM28
6448613	6474459	11	TRIM3
114392777	114511160	1	TRIM33
5619764	5644398	11	TRIM34
27284887	27311319	8	TRIM35
58982638	59106921	17	TRIM37
30326479	30343729	6	TRIM39
35662805	35818007	11	TRIM44
155173787	155184971	1	TRIM46
75874161	75878575	17	TRIM47
5663557	5938619	11	TRIM5
101085439	101097967	7	TRIM56
247857199	247878205	1	TRIM58
5596109	5612958	11	TRIM6
5596725	5644398	11	TRIM6-TRIM34
75880335	75897003	17	TRIM65
181193924	181205293	5	TRIM7
50975262	51096061	14	TRIM9
14143702	14532128	5	TRIO
6737925	6751526	19	TRIP10
91965991	92040896	14	TRIP11
229763838	229923239	2	TRIP12
892643	919357	5	TRIP13
64387748	64455303	15	TRIP4
100867138	100873454	7	TRIP6
92883530	93017673	8	TRIQK
37753803	37778972	9	TRMT10B
101561862	101566446	3	TRMT10C
64316460	64318084	11	TRMT112
124450820	124462150	8	TRMT12
100133150	100150497	1	TRMT13
185118098	185157072	1	TRMT1L
20111866	20117392	22	TRMT2A
8436140	8493531	4	TRMT44
60971451	60981358	14	TRMT5
5937235	5950558	20	TRMT6
103529184	103537073	14	TRMT61A
3126916	3150879	3	TRNT1
49323236	49331731	12	TROAP
193059422	193091777	1	TROVE2
72019917	72075617	8	TRPA1
37636636	37870425	13	TRPC4
35002404	35092871	20	TRPC4AP
101451564	101872562	11	TRPC6
74722495	74888094	9	TRPM6
50552473	50686815	15	TRPM7
64223799	64226254	11	TRPT1
98877933	99013243	7	TRRAP
114938193	114977676	10	TRUB1
128305161	128322742	9	TRUB2
156337314	156346995	1	TSACC
132891348	132944633	9	TSC1
150408335	150466431	3	TSC22D2
